年,月,日,時,分,縣市,區,死,受傷,2-30,天候,光線,道路類別,速限,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,主要肇因,受傷程度,主要傷處,保護裝備,行動電話,當事者區分,車輛用途,當事者行動狀態,駕駛資格情形,駕駛執照種類,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,旅次目的,車種,GPS緯度,GPS經度,事故類別
2021,1,1,0,5,臺中市,西屯區,0,2,0,8,3,5,50,3,1,1,5,4,5,7,1,1,10,5,5,2,16,26,2,8,1,1,C01,7,8,1,9,2,12,,26,26,1,4,8,C01,120.639201,24.169277,2
2021,1,1,0,23,臺中市,西區,0,0,0,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,1,,,6,,1,5,,B03,120.65943,24.154885,3
2021,1,1,0,27,臺中市,后里區,0,2,0,8,4,5,50,14,9,1,5,4,5,7,4,4,9,5,5,2,13,23,2,8,1,1,C03,7,9,1,10,2,11,,23,23,1,18,8,C03,120.68583,24.32089,2
2021,1,1,0,47,臺中市,西屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,8,,,,,C03,,,1,,11,,,8,8,1,22,,C03,120.639005,24.159258,3
2021,1,1,0,53,臺中市,北屯區,0,0,0,8,3,5,50,4,1,1,5,4,5,7,4,4,10,5,5,2,13,21,3,10,1,1,B03,7,14,1,8,2,3,,44,21,1,4,8,B03,120.693594,24.164904,3
2021,1,1,0,55,臺中市,西區,0,0,0,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,23,,1,5,,B03,120.654404,24.150951,3
2021,1,1,1,45,臺中市,大里區,0,0,0,8,,,50,,,,,,,,,,,,,,,,,,,,C03,,,1,,11,,,25,,1,6,,C03,120.691576,24.091611,3
2021,1,1,1,55,臺中市,中區,0,2,0,8,3,5,50,4,1,1,5,4,5,7,1,1,10,5,5,2,16,26,2,9,1,1,C03,7,5,3,18,2,12,,26,26,1,21,8,C03,120.680291,24.143151,2
2021,1,1,2,0,臺中市,大里區,0,1,0,8,3,5,50,4,1,1,5,4,5,7,1,1,9,5,5,1,17,23,2,9,1,1,C03,7,9,1,10,2,12,,23,23,1,22,8,C03,120.690093,24.110133,2
2021,1,1,2,4,臺中市,東區,0,0,0,8,3,5,50,5,1,1,5,4,5,7,1,1,10,5,5,2,12,,,,,,C03,,,1,,9,,,23,,2,5,,C03,120.692669,24.12642,3
2021,1,1,2,30,臺中市,沙鹿區,0,1,0,8,3,5,70,3,2,1,5,4,5,7,1,1,1,4,4,1,9,23,3,10,1,1,B03,7,9,1,8,2,1,,23,23,1,21,8,B03,120.614369,24.24417,2
2021,1,1,2,44,臺中市,太平區,0,1,0,8,3,5,50,4,1,1,5,4,5,7,3,1,10,5,5,2,15,6,2,9,3,4,C03,7,9,1,10,2,11,,6,6,1,9,8,C03,120.71469,24.141455,2
2021,1,1,2,49,臺中市,北區,0,1,0,8,3,5,50,14,9,1,5,4,5,7,4,4,5,4,5,2,13,23,2,9,1,1,C03,7,9,1,10,2,11,,23,23,1,22,8,C03,120.666722,24.166796,2
2021,1,1,3,30,臺中市,外埔區,0,0,0,8,3,5,50,5,1,1,5,4,5,7,3,1,10,5,5,2,15,6,3,10,1,1,C03,7,9,2,18,2,11,,6,6,1,22,8,C03,120.656219,24.33243,3
2021,1,1,3,47,臺中市,西區,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,6,,1,5,,B03,120.671434,24.152205,3
2021,1,1,4,57,臺中市,霧峰區,1,0,0,8,2,5,30,4,1,1,5,4,5,7,3,1,5,5,5,1,16,6,3,10,1,1,A31,7,9,1,1,2,5,,6,6,1,10,8,A31,120.680001,24.070698,1
2021,1,1,6,23,臺中市,北區,0,0,0,8,,,50,,,,,,,,,,,,,,,,,,,,C03,,,6,,2,,,23,,1,22,,C03,120.675774,24.158692,3
2021,1,1,7,30,臺中市,西區,0,0,0,8,,,50,,,,,,,,,,,,,,,,,,,,B12,,,1,,2,,,6,,1,5,,B12,120.666466,24.13362,3
2021,1,1,7,34,臺中市,西區,0,0,0,8,1,5,50,3,2,1,5,4,2,7,4,4,5,4,5,2,14,12,3,10,3,4,B12,7,2,1,8,2,3,,12,12,1,21,8,B12,120.672949,24.138472,3
2021,1,1,7,40,臺中市,北屯區,0,2,0,8,2,5,50,3,1,1,5,4,5,7,4,4,5,4,5,2,17,4,2,9,1,1,C03,7,5,1,10,2,14,,4,4,1,20,8,C03,120.7369,24.1784,2
2021,1,1,7,40,臺中市,梧棲區,0,1,0,8,1,5,50,14,9,1,5,4,5,7,4,4,4,5,5,1,16,6,2,8,1,1,C03,7,6,1,10,2,11,,6,6,1,20,8,C03,120.538628,24.248458,2
2021,1,1,7,42,臺中市,西屯區,0,1,0,8,1,5,50,14,8,1,5,4,5,7,4,4,1,4,4,2,12,9,3,10,3,4,C03,7,6,1,10,2,12,,9,9,1,22,8,C03,120.65449,24.202021,2
2021,1,1,7,48,臺中市,西屯區,0,2,0,8,1,5,50,14,9,1,5,4,5,7,4,4,5,4,5,2,13,16,2,9,1,1,C03,7,9,1,10,2,11,,16,16,1,21,8,C03,120.637171,24.181369,2
2021,1,1,7,48,臺中市,龍井區,0,1,0,8,1,5,50,14,9,1,5,4,5,7,1,1,5,5,5,1,16,10,2,7,3,4,B03,7,11,1,8,2,8,,10,10,1,4,7,B03,120.523291,24.198426,2
2021,1,1,7,50,臺中市,大甲區,0,2,0,8,1,5,50,14,9,1,5,4,5,7,4,4,5,5,5,1,16,26,2,8,1,1,C03,7,5,1,10,2,14,,26,26,1,7,8,C03,120.653318,24.37823,2
2021,1,1,7,57,臺中市,新社區,0,1,0,8,1,5,30,4,1,1,5,4,5,7,4,4,10,5,5,2,16,6,2,8,1,1,C03,7,9,1,10,2,11,,6,6,1,5,8,C03,120.790455,24.216411,2
2021,1,1,8,41,臺中市,南屯區,0,0,0,8,1,5,30,15,9,1,5,4,5,7,4,4,10,5,5,2,14,12,3,10,1,1,B03,7,2,1,8,1,7,,12,12,1,22,8,B03,120.640268,24.131594,3
2021,1,1,8,46,臺中市,沙鹿區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,4,4,10,5,5,2,15,6,3,10,1,1,C03,7,9,1,10,2,12,,6,6,1,21,8,C03,120.56132,24.240024,2
2021,1,1,8,50,臺中市,豐原區,0,1,0,8,1,5,30,3,1,1,5,4,5,7,4,4,10,5,5,2,17,6,3,10,1,1,B03,7,5,1,8,2,1,,6,6,1,12,8,B03,120.740837,24.251826,2
2021,1,1,9,0,臺中市,梧棲區,1,0,0,8,1,5,60,3,1,1,5,4,5,7,1,1,1,3,4,1,17,4,1,1,4,1,F01,7,1,8,20,10,16,,4,4,1,5,8,F01,120.536745,24.252353,1
2021,1,1,9,3,臺中市,中區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,4,4,10,5,5,2,15,6,2,9,1,1,C03,7,9,1,10,2,11,,6,6,1,4,5,C03,120.683716,24.140031,2
2021,1,1,9,11,臺中市,西屯區,0,2,0,8,1,5,50,4,1,1,5,4,5,7,1,1,10,5,5,2,16,25,2,9,1,1,C03,7,5,1,10,2,14,,25,25,1,21,8,C03,120.6583,24.164836,2
2021,1,1,9,16,臺中市,北屯區,0,1,0,8,1,5,30,4,1,1,5,4,5,7,4,4,10,5,5,1,18,43,2,9,1,1,C03,7,5,1,10,2,14,,43,43,1,21,8,C03,120.690328,24.17017,2
2021,1,1,9,32,臺中市,新社區,0,0,0,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,23,,1,22,,B03,120.80723,24.25474,3
2021,1,1,9,51,臺中市,南屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,3,,,,,B02,,,1,,2,,,3,3,1,22,,B02,120.653905,24.135313,3
2021,1,1,9,54,臺中市,南屯區,0,0,0,8,,,30,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,19,,1,,,B03,120.651669,24.133694,4
2021,1,1,9,58,臺中市,西區,0,0,0,8,,,50,,,,,,,,,,,,,,,,,,,,B12,,,1,,2,,,23,,1,,,B12,120.663504,24.139859,4
2021,1,1,10,4,臺中市,潭子區,0,0,0,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,9,,,23,,2,22,,B03,120.695078,24.216152,3
2021,1,1,10,6,臺中市,北區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,1,1,5,5,5,2,16,8,3,10,1,1,C03,7,5,1,10,2,14,,8,8,1,22,8,C03,120.686923,24.160193,2
2021,1,1,10,8,臺中市,沙鹿區,0,1,0,8,1,5,40,4,2,1,5,4,5,7,2,1,3,4,3,1,18,42,,,,,,,,,,,,,,,,,,,120.56475,24.239662,2
2021,1,1,10,35,臺中市,北區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,3,1,10,5,5,2,17,6,2,9,1,1,C03,7,9,1,10,2,14,,6,6,1,22,9,C03,120.69589,24.157799,2
2021,1,1,10,40,臺中市,西屯區,0,3,0,8,1,5,30,4,1,1,5,4,5,7,3,1,5,4,4,2,15,42,2,8,3,4,C03,7,9,1,11,2,15,,42,42,1,22,8,C03,120.63846,24.181555,2
2021,1,1,10,41,臺中市,北屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,23,,,,,B12,,,1,,1,,,23,23,1,5,,B12,120.662654,24.188285,3
2021,1,1,10,44,臺中市,神岡區,0,2,0,8,1,5,30,4,1,2,5,4,5,7,3,1,10,5,5,2,15,6,3,10,3,4,B03,7,9,1,8,2,2,,6,6,1,22,9,B03,120.642385,24.243271,2
2021,1,1,11,10,臺中市,大甲區,0,1,0,8,1,5,30,14,9,1,5,4,5,7,4,4,10,5,5,2,18,23,2,9,1,1,C03,7,9,6,18,2,12,,23,23,1,20,8,C03,120.643321,24.403804,2
2021,1,1,11,14,臺中市,豐原區,0,0,0,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,19,,1,22,,B03,120.712661,24.250875,3
2021,1,1,11,30,臺中市,太平區,0,0,0,8,,,40,,,,,,,,,,,,,,,,,,,,B12,,,1,,2,,,12,,1,21,,B12,120.701254,24.152948,3
2021,1,1,11,31,臺中市,梧棲區,0,1,0,8,1,5,30,4,1,1,5,4,5,7,4,4,10,5,5,2,15,6,2,9,1,1,C03,7,9,1,10,2,11,,6,6,1,9,8,C03,120.538615,24.231071,2
2021,1,1,11,42,臺中市,北區,0,0,0,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,1,,,23,,1,5,,B03,120.68444,24.163004,3
2021,1,1,11,42,臺中市,大肚區,0,2,0,8,1,5,50,3,1,1,5,4,5,7,4,4,10,5,5,2,16,6,2,9,1,1,C03,7,5,1,10,2,11,,6,6,1,19,8,C03,120.541103,24.153735,2
2021,1,1,11,43,臺中市,北屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,1,,,42,,1,20,,B03,120.7298,24.177,3
2021,1,1,11,44,臺中市,潭子區,0,1,0,8,1,5,50,3,1,1,5,4,5,7,4,4,5,4,5,1,16,8,3,10,1,1,F02,7,5,8,20,2,15,,8,8,1,22,9,F02,120.696853,24.224159,2
2021,1,1,11,51,臺中市,南區,0,0,0,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,7,,1,20,,B03,120.662694,24.126961,3
