年,月,日,時,分,縣市,區,死,受傷,2-30,天候,光線,道路類別,速限,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,主要肇因,受傷程度,主要傷處,保護裝備,行動電話,當事者區分,車輛用途,當事者行動狀態,駕駛資格情形,駕駛執照種類,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,旅次目的,車種,GPS緯度,GPS經度,事故類別
2021,6,1,0,20,臺中市,北屯區,0,1,0,8,3,5,50,4,1,1,5,4,5,7,3,1,10,5,5,2,15,6,2,9,3,4,C03,7,9,6,10,2,12,,6,6,1,21,8,C03,120.682258,24.168555,2
2021,6,1,0,23,臺中市,南屯區,0,1,0,8,3,5,50,4,1,1,5,4,5,7,3,1,4,4,5,2,13,23,3,10,1,1,B12,7,5,1,8,2,1,,23,23,1,22,8,B12,120.653703,24.136131,2
2021,6,1,0,29,臺中市,豐原區,0,0,0,8,,,50,,,,,,,,,,,,,,,23,,,,,C03,,,1,,2,,,23,23,1,22,,C03,120.72672,24.238372,3
2021,6,1,1,0,臺中市,南區,1,0,0,8,3,5,50,14,7,1,5,4,5,1,4,4,1,4,4,2,23,23,1,9,1,1,C03,7,9,1,10,2,14,,23,23,1,21,8,C03,120.665552,24.126573,1
2021,6,1,2,54,臺中市,北屯區,0,1,0,6,3,5,50,14,9,1,4,4,5,7,4,4,5,2,5,2,25,26,2,9,3,1,C03,7,15,4,8,2,11,14,26,26,1,5,8,C03,120.708033,24.170039,2
2021,6,1,3,16,臺中市,北區,0,1,0,6,3,5,40,14,8,1,4,4,3,7,4,4,2,5,4,2,9,60,3,10,4,1,H01,8,16,8,20,10,16,,60,60,1,21,8,H01,120.689407,24.157386,2
2021,6,1,3,51,臺中市,北屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,19,,,,,B11,,,1,8,1,,,19,19,1,21,,B11,120.669872,24.201263,3
2021,6,1,5,2,臺中市,東勢區,0,0,0,8,2,5,50,14,9,1,5,4,5,7,4,4,4,3,5,1,16,3,3,10,1,1,B01,7,6,1,,8,1,,3,3,1,22,9,B01,120.831614,24.248197,3
2021,6,1,6,48,臺中市,東區,0,1,0,8,1,5,50,3,1,1,5,4,5,7,3,1,10,5,5,2,16,6,3,10,1,1,B02,7,6,1,8,2,5,,6,6,1,22,8,B02,120.693255,24.133511,2
2021,6,1,6,50,臺中市,北屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,23,,,,,B02,,,2,,1,,,23,23,1,5,,B02,120.686371,24.188191,3
