年,月,日,時,分,縣市,區,死,受傷,2-30,天候,光線,道路類別,速限,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,主要肇因,受傷程度,主要傷處,保護裝備,行動電話,當事者區分,車輛用途,當事者行動狀態,駕駛資格情形,駕駛執照種類,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,旅次目的,車種,GPS緯度,GPS經度,事故類別
2021,4,1,0,53,臺中市,西屯區,0,1,0,8,3,5,30,14,9,1,5,4,3,7,4,4,10,5,5,2,12,23,2,9,3,4,B03,7,9,1,8,2,1,2,23,23,1,22,8,B03,120.666928,24.173735,2
2021,4,1,1,19,臺中市,北區,0,1,0,8,3,5,50,4,1,1,5,4,5,7,1,1,10,5,5,2,16,8,2,9,1,1,C03,7,5,1,10,2,13,,8,8,1,22,8,C03,120.690635,24.157301,2
2021,4,1,3,7,臺中市,西屯區,0,1,0,8,3,5,50,4,1,1,5,4,5,7,2,1,10,5,5,2,9,23,3,10,1,1,B03,7,9,1,8,2,5,,23,23,1,22,8,B03,120.656976,24.200781,2
2021,4,1,3,38,臺中市,中區,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,B01,,,1,,2,,,6,,1,10,,B01,120.684207,24.140945,3
2021,4,1,5,14,臺中市,北區,0,0,0,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,23,,1,,,B03,120.668209,24.159527,3
2021,4,1,5,23,臺中市,東勢區,0,0,0,8,,,40,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,6,,1,22,,B03,120.826773,24.255536,3
2021,4,1,6,45,臺中市,大里區,0,0,0,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,19,,1,,,B03,120.70221,24.096299,3
2021,4,1,6,51,臺中市,西屯區,0,1,0,8,3,5,50,4,1,1,5,4,5,7,2,1,10,5,5,2,12,6,3,10,3,4,C03,7,6,1,10,2,12,,6,6,1,22,9,C03,120.642206,24.177703,2
2021,4,1,6,56,臺中市,南區,1,0,0,8,1,5,50,4,1,1,5,4,5,7,1,1,10,5,5,2,17,6,3,10,1,1,B12,7,5,1,8,2,6,,6,6,2,22,8,B12,120.672009,24.126484,1
2021,4,1,7,5,臺中市,大甲區,0,1,0,7,1,5,30,4,1,1,5,4,5,7,4,4,10,5,5,2,16,6,3,10,1,1,C03,7,5,3,18,2,14,,6,6,1,21,8,C03,120.627613,24.354583,2
2021,4,1,7,10,臺中市,南屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,6,,2,,,42,,1,22,,B03,120.613385,24.141002,3
