年,月,日,時,分,縣市,區,死,受傷,2-30,天候,光線,道路類別,速限,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,主要肇因,受傷程度,主要傷處,保護裝備,行動電話,當事者區分,車輛用途,當事者行動狀態,駕駛資格情形,駕駛執照種類,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,旅次目的,車種,GPS緯度,GPS經度,事故類別
2021,2,1,0,5,臺中市,北屯區,0,0,0,8,1,5,50,4,2,1,5,4,5,7,1,1,5,2,4,2,13,23,3,10,1,1,B03,7,9,1,8,8,1,,23,23,1,21,8,B03,120.693333,24.1675,3
2021,2,1,0,44,臺中市,豐原區,0,1,0,8,3,5,50,11,9,1,5,4,5,7,4,4,3,5,5,1,18,42,2,9,3,4,C03,7,9,1,10,2,12,,42,42,1,22,8,C03,120.731471,24.26543,2
2021,2,1,0,47,臺中市,北屯區,0,1,0,8,3,5,50,4,1,1,5,4,5,7,1,1,10,5,5,2,16,9,3,10,1,1,B03,7,6,1,8,2,2,,9,9,1,5,8,B03,120.719018,24.175788,2
2021,2,1,6,48,臺中市,豐原區,0,0,0,8,,,40,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,16,,1,22,,B03,120.721669,24.278079,3
2021,2,1,6,50,臺中市,清水區,0,0,0,8,1,5,50,14,9,1,5,4,5,7,4,4,5,4,5,1,13,23,3,10,1,1,B03,7,9,1,8,2,1,,23,23,1,5,5,B03,120.575326,24.278813,3
2021,2,1,6,55,臺中市,清水區,0,0,0,8,1,5,60,4,7,1,5,4,5,7,1,1,1,4,4,1,13,23,3,10,1,1,A41,7,9,1,1,2,1,,23,23,1,5,4,A41,120.548065,24.277169,3
2021,2,1,6,56,臺中市,南屯區,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,12,,1,,,B03,120.607415,24.132567,3
2021,2,1,7,4,臺中市,外埔區,0,1,0,8,1,5,50,14,9,1,5,4,5,7,4,4,9,4,4,1,12,19,3,10,1,1,B03,7,1,1,8,2,8,,19,19,1,4,1,B03,120.656033,24.329191,2
2021,2,1,7,11,臺中市,太平區,0,0,0,8,,,50,,,,,,,,,,,,,,,,,,,,B01,,,1,,2,,,23,,1,10,,B01,120.731111,24.1125,3
2021,2,1,7,16,臺中市,后里區,0,1,0,8,2,5,60,4,1,1,5,4,5,7,2,1,10,4,5,1,15,25,3,10,1,1,B03,7,9,1,8,7,5,,25,25,1,21,8,B03,120.697081,24.313058,2
2021,2,1,7,19,臺中市,北屯區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,1,1,10,5,5,2,16,6,3,10,1,1,B03,7,6,1,8,2,2,,6,6,1,21,1,B03,120.659878,24.192933,2
2021,2,1,7,30,臺中市,大雅區,0,1,0,8,1,5,50,5,1,1,5,4,5,7,2,1,3,4,4,1,2,23,3,10,1,1,C03,7,6,1,10,2,11,,23,23,1,22,9,C03,120.666092,24.216917,2
2021,2,1,7,36,臺中市,豐原區,0,1,0,8,1,5,50,3,1,1,5,4,5,7,1,1,10,5,5,2,16,19,3,10,1,1,C03,7,1,1,10,2,14,,19,19,1,22,8,C03,120.701291,24.249213,2
2021,2,1,7,42,臺中市,大肚區,0,0,0,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,23,,1,,,B03,120.569681,24.121289,3
2021,2,1,7,43,臺中市,太平區,0,2,0,8,1,5,50,14,9,1,5,4,5,7,4,4,5,5,5,2,16,26,2,9,1,1,C03,7,1,1,10,2,11,,26,26,1,20,8,C03,120.718275,24.13873,2
2021,2,1,7,45,臺中市,大雅區,0,2,0,8,1,5,50,3,1,1,5,4,5,7,4,4,10,5,5,2,16,19,3,10,1,1,C03,7,1,1,10,2,14,,19,19,1,22,9,C03,120.644292,24.228825,2
