年,月,日,時,分,縣市,區,死,受傷,2-30,天候,光線,道路類別,速限,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,主要肇因,受傷程度,主要傷處,保護裝備,行動電話,當事者區分,車輛用途,當事者行動狀態,駕駛資格情形,駕駛執照種類,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,旅次目的,車種,GPS緯度,GPS經度,事故類別
2021,8,1,0,50,臺中市,南屯區,0,1,0,6,3,5,50,14,7,1,4,4,5,7,4,4,1,4,5,2,13,23,2,8,1,1,C03,7,9,1,10,2,12,,23,23,1,22,9,C03,120.648611,24.140277,2
2021,8,1,0,56,臺中市,北屯區,0,0,0,6,,,40,,,,,,,,,,,,,,,12,,,,,B03,,,1,,1,,,12,12,1,,,B03,120.686046,24.185083,3
2021,8,1,1,7,臺中市,太平區,0,2,0,6,3,5,40,4,1,1,4,4,5,7,3,1,10,5,5,2,15,6,2,7,1,1,B12,7,9,1,8,2,4,,6,6,1,9,4,B12,120.715195,24.108135,2
2021,8,1,1,56,臺中市,中區,0,0,0,6,3,5,50,4,1,1,4,4,5,7,1,1,10,5,5,2,12,42,,,,,A11,,,1,,1,,,42,42,1,22,,A11,120.674527,24.144065,3
2021,8,1,3,53,臺中市,西區,0,0,0,6,,,50,,,,,,,,,,,,,,,23,,,,,B02,,,1,,2,,,23,23,1,21,,B02,120.65834,24.155217,3
2021,8,1,5,16,臺中市,東區,0,1,0,6,2,5,50,14,8,1,4,4,5,7,4,4,5,4,4,2,17,23,2,9,1,1,C03,7,9,1,10,2,11,,23,23,1,22,9,C03,120.70547,24.148282,2
2021,8,1,6,29,臺中市,南屯區,0,1,0,6,1,5,50,4,9,1,4,4,5,7,1,1,3,4,5,2,18,42,2,9,1,1,C03,7,9,1,10,2,12,,42,42,1,22,8,C03,120.64672,24.1508,2
2021,8,1,7,0,臺中市,大里區,0,1,0,6,1,5,50,11,9,1,4,4,5,7,4,4,5,5,5,1,17,19,2,9,1,1,C03,7,9,4,8,2,12,,44,19,1,21,1,C03,120.701655,24.110638,2
2021,8,1,7,38,臺中市,龍井區,0,1,0,6,1,5,50,4,8,1,4,4,5,7,2,1,3,4,3,1,18,23,2,9,3,4,C03,7,9,1,10,2,11,,23,23,1,22,9,C03,120.581758,24.175784,2
2021,8,1,7,40,臺中市,龍井區,0,1,0,6,1,5,50,4,8,1,4,4,5,7,2,1,3,4,3,1,18,23,2,9,3,4,C03,7,9,1,10,2,11,,23,23,1,22,9,C03,120.545575,24.192712,2
2021,8,1,8,10,臺中市,清水區,0,1,0,6,1,5,30,3,1,1,4,4,5,7,4,4,10,5,5,2,18,23,2,9,3,4,C03,7,5,1,10,2,15,,23,23,1,21,8,C03,120.564928,24.273676,2
2021,8,1,8,17,臺中市,北屯區,0,0,0,6,,,50,,,,,,,,,,,,,,,25,,,,,B03,,,1,,2,,,25,25,1,22,,B03,120.668953,24.192449,3
