年,月,日,時,分,縣市,區,死,受傷,2-30,天候,光線,道路類別,速限,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,主要肇因,受傷程度,主要傷處,保護裝備,行動電話,當事者區分,車輛用途,當事者行動狀態,駕駛資格情形,駕駛執照種類,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,旅次目的,車種,GPS緯度,GPS經度,事故類別
2021,10,1,0,32,臺中市,東區,0,2,0,8,3,5,50,14,9,1,5,4,5,7,4,4,5,4,5,2,13,23,2,8,1,1,C03,7,9,1,10,2,11,,23,23,1,21,8,C03,120.708699,24.135598,2
2021,10,1,0,42,臺中市,太平區,0,0,0,8,,,50,,,,,,,,,,,,,,,23,,,,,B03,,,1,,2,,,23,23,1,9,,B03,120.733405,24.154491,3
2021,10,1,3,40,臺中市,南區,0,1,0,8,3,5,50,4,1,1,5,4,5,7,2,1,10,5,5,2,13,23,2,9,1,1,C03,7,9,1,10,2,11,,23,23,1,21,8,C03,120.662645,24.12682,2
2021,10,1,5,9,臺中市,大里區,0,1,0,8,2,5,50,4,2,1,5,4,5,7,1,1,5,2,5,1,13,23,3,10,1,1,B03,7,9,1,8,2,8,,23,23,1,22,9,B03,120.694961,24.096785,2
2021,10,1,5,41,臺中市,烏日區,0,1,0,8,2,5,50,4,1,1,5,4,5,7,3,1,5,4,5,1,12,10,3,10,1,1,B03,7,11,6,18,2,8,,10,10,1,22,8,B03,120.643602,24.061015,2
2021,10,1,6,6,臺中市,北屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,7,,,,,C03,,,1,,1,,,7,7,1,21,,C03,120.719521,24.162873,3
2021,10,1,6,16,臺中市,大雅區,0,1,0,8,1,5,50,3,2,1,5,4,5,7,4,4,9,5,5,1,17,16,2,9,1,1,C03,7,9,1,10,2,14,,16,16,1,22,9,C03,120.668345,24.215904,2
2021,10,1,6,25,臺中市,神岡區,0,2,0,8,1,5,30,3,2,1,5,4,5,7,4,4,10,5,5,2,17,6,2,9,3,4,C03,7,5,4,11,2,11,,6,6,1,22,9,C03,120.681683,24.250813,2
2021,10,1,6,46,臺中市,大甲區,0,1,0,8,1,5,50,3,1,1,5,4,5,7,4,4,10,5,5,2,16,6,3,10,1,1,B03,7,5,1,8,2,8,,6,6,1,22,9,B03,120.625041,24.339558,2
2021,10,1,6,56,臺中市,北區,0,0,0,8,,,50,,,,,,,,,,,,,,,6,,,,,C02,,,1,,1,,,6,6,1,21,,C02,120.679961,24.161631,3
