年,月,日,時,分,縣市,區,死,受傷,2-30,天候,光線,道路類別,速限,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,主要肇因,受傷程度,主要傷處,保護裝備,行動電話,當事者區分,車輛用途,當事者行動狀態,駕駛資格情形,駕駛執照種類,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,旅次目的,車種,GPS緯度,GPS經度,事故類別
2021,9,1,0,9,臺中市,龍井區,0,3,0,8,3,5,30,4,1,1,5,4,5,7,3,1,10,5,5,2,17,6,2,9,3,4,C03,7,9,1,10,2,11,,6,6,1,22,9,C03,120.583589,24.180673,2
2021,9,1,0,15,臺中市,西屯區,0,3,0,8,3,5,50,14,9,1,5,4,5,7,4,4,5,2,5,2,17,19,2,9,1,1,C03,7,1,1,10,2,11,,19,19,1,22,8,C03,120.638291,24.18062,2
2021,9,1,1,0,臺中市,沙鹿區,0,0,0,8,3,5,50,14,8,1,5,4,5,7,4,4,1,4,4,2,17,21,3,10,1,1,B03,7,8,1,8,6,1,,21,21,1,4,5,B03,120.566605,24.251596,3
2021,9,1,1,57,臺中市,北區,0,1,0,8,3,5,50,5,1,1,5,4,5,7,2,1,10,5,5,2,16,6,3,10,1,1,B03,7,5,1,8,2,2,,6,6,1,5,8,B03,120.684955,24.165051,2
2021,9,1,4,15,臺中市,西屯區,0,1,0,8,3,5,40,3,2,1,5,4,5,7,1,1,9,4,4,2,17,43,2,9,1,1,C03,7,9,1,10,2,11,,43,43,1,12,8,C03,120.638896,24.168555,2
2021,9,1,5,9,臺中市,西屯區,0,1,0,8,2,5,50,3,2,1,5,4,5,7,1,1,5,2,5,2,13,16,3,10,1,1,A11,7,9,1,3,2,1,,16,16,1,10,8,A11,120.604615,24.187468,2
2021,9,1,5,55,臺中市,清水區,0,2,0,8,1,5,50,4,1,1,5,4,5,7,3,1,10,5,5,1,15,6,2,9,3,4,B03,7,9,1,8,2,4,,6,6,1,21,8,B03,120.557896,24.280765,2
2021,9,1,6,12,臺中市,東區,1,1,0,8,2,5,40,15,22,1,5,4,5,7,3,1,10,5,5,2,16,10,2,7,3,4,B03,7,11,1,4,2,4,,10,10,1,5,8,B03,120.699963,24.137521,1
2021,9,1,6,42,臺中市,潭子區,0,2,0,8,1,5,50,3,1,1,5,4,5,7,3,1,10,1,5,2,16,26,2,9,1,1,C03,7,5,1,10,2,14,,26,26,1,22,9,C03,120.695508,24.19407,2
2021,9,1,6,50,臺中市,西屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,23,,,,,B03,,,1,,1,,,23,23,1,12,,B03,120.636038,24.171173,3
2021,9,1,6,51,臺中市,北屯區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,1,1,5,4,4,1,11,8,3,10,1,1,B03,7,5,1,8,2,1,,8,8,1,21,8,B03,120.681545,24.171111,2
2021,9,1,7,0,臺中市,沙鹿區,0,3,0,8,1,5,40,3,1,1,5,4,5,7,1,1,10,5,5,2,15,23,2,7,1,1,C03,7,9,1,10,2,12,,23,23,1,21,8,C03,120.603568,24.248472,2
2021,9,1,7,12,臺中市,西屯區,0,1,0,8,1,5,50,14,9,1,5,4,5,7,1,1,5,5,5,2,16,40,3,10,1,1,B03,7,14,1,8,2,6,,40,40,1,22,8,B03,120.607625,24.187421,2
2021,9,1,7,14,臺中市,西區,0,0,0,8,,,50,,,,,,,,,,,,,,,23,,,,,B03,,,1,,1,,,23,23,1,5,,B03,120.679191,24.137123,3
2021,9,1,7,15,臺中市,北屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,6,,,,,B03,,,1,,1,,,6,6,1,21,,B03,120.691364,24.172718,3
2021,9,1,7,17,臺中市,沙鹿區,0,0,0,8,,,60,,,,,,,,,,,,,,,23,,,,,B03,,,1,,2,,,23,23,1,9,,B03,120.575258,24.228003,4
2021,9,1,7,20,臺中市,大雅區,0,2,0,8,1,5,50,3,1,1,5,4,5,7,4,4,5,5,5,1,17,6,2,9,1,1,C03,7,5,3,18,2,14,,6,6,1,21,8,C03,120.620635,24.236086,2
